"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q8TEM1",6,NA,8,1,NA,2,NA,NA,NA,NA,5,4,3,2,4,3,5,5,17.4064782093161,16.0174840106107,17.3709500614851,16.1477793611439,15.5294464883224,16.1309993966453,16.8331258408756,16.5181383262051,16.4291244759948,16.5711417061979,17.0615359865565,17.0926607908793,17.0483151350369,16.9205736086279,16.7535093539939,17.6506925464095,16.8887751956669,16.9320911872964,-0.257321660125363,0.202128554851714,0.249730918462251,0.280187329168384,0.163622972972171,0.234180319878999
"P51148",3,2,2,1,2,2,3,2,3,4,4,5,1,2,2,2,3,2,17.8466805375095,17.0734520015809,17.9093135054468,17.2059954628367,16.5292360293423,17.1391588397831,18.5292121987953,18.5840224607331,18.5015984697406,18.5191535722241,18.6259148247891,18.772871032204,17.8302221197857,18.0731061555806,17.9648533103175,18.5937354144671,17.9440606211976,17.8738670411957,0.646271470549254,8.27469531801061e-07,2.11522997088849e-06,0.486478775505022,0.000114435609849273,0.000449688869473167
"O75439",NA,3,2,2,3,3,7,9,9,6,8,6,4,4,2,4,4,3,16.3705227660623,16.4723934248041,15.825480831675,16.4247444690892,15.6747129222764,15.7668364698346,17.9153509585735,17.4874394834998,17.285656786125,17.4964259373271,17.6213507248883,17.8473502966722,16.3554013850046,16.7050528374775,16.6185882281826,17.3294394215138,16.8120718875524,16.960604177574,0.790836772623773,5.65968783084584e-12,2.83927672847433e-11,0.458486818615654,1.52162468564087e-05,7.24885093298358e-05
"P11047",14,18,10,14,17,16,5,2,2,6,7,10,5,4,2,5,4,5,17.7180785949548,18.120493175603,17.4160243495543,17.8760414162144,17.9264044025723,17.5315133307575,17.1290161619157,16.7344889276528,16.9069183985138,16.9735971111955,17.251592595862,17.3873096118846,16.3729854143718,16.1871568124115,16.1382080337034,16.9132763769643,16.2219742677671,16.2118555159559,-1.34527130216643,3.70232514085913e-21,5.40315087223562e-20,-1.63528030504067,1.06654658452342e-27,1.28038917472036e-25
"P23141",26,35,26,34,34,32,24,23,22,22,19,22,27,26,24,31,26,29,18.7142322253444,19.7611089915123,18.4062949922887,19.5008808156073,19.3600657579995,18.8420244562904,17.9074926154731,17.6925525937396,17.9400643072728,17.7129923710435,17.4617868412709,17.8777484717535,18.8187361890734,18.3755823179475,18.2404559724015,19.4549030800053,18.4947889030464,18.6081001709921,-1.8319207360126,1.99403632331321e-16,1.70876849342997e-15,-0.580553338035706,0.00684498288582199,0.0157270850802475
"P09132",1,NA,1,NA,NA,NA,1,1,2,1,2,1,1,1,1,1,1,1,16.5759237186414,16.6843512079363,16.9565413869611,16.3825747889023,16.5796041836269,16.1091035774589,17.8284022529443,17.7428997601522,17.3879371912714,17.4322194755979,17.3916082018931,17.337943090344,17.1966546395184,17.1007113047569,17.1280951506872,17.5534662793639,17.0991135081735,17.1302792355226,0.239782453711221,0.027727429033677,0.0383942778108649,0.323207078028264,0.00521364650837821,0.0125179652666161
"Q06210",10,NA,14,1,NA,5,16,16,15,15,16,14,10,11,12,12,11,11,17.8023376641537,15.7218946810292,17.8787673473737,16.0894181150857,15.8450711578673,16.4301200146261,18.5992847242923,18.2222146306908,18.1739675175053,18.4400239446388,17.9626078973738,18.4396331894845,17.3687811982674,17.1999195146725,17.1823420722663,18.1183614359414,17.3939007880046,17.0684494264975,0.888865469775905,0.000518500965592398,0.000896947072662711,0.442905231001862,0.081110560167623,0.129056630193812
"O94874",4,NA,4,NA,NA,3,NA,NA,NA,2,3,3,4,1,3,NA,3,NA,17.397671146973,14.2022691392108,17.0130640832538,15.6772225133826,15.2857644762063,15.5093982808256,16.709011640444,15.929911998589,16.433188056411,16.2043174570277,16.9607864186482,16.8179622089687,16.1555399921726,16.1345829362777,16.4136934404888,16.7556646499421,16.1610311679344,16.106927082895,-8.77682691754645e-11,0.999986749197824,1,-6.308439531847e-11,0.999990818455897,1
"Q13637",1,NA,1,NA,NA,1,2,1,2,1,1,1,NA,2,1,NA,1,1,17.1050130168709,16.236492084719,17.3168878526586,16.0010697836187,15.9259755704867,16.4412065402085,17.7448712103354,17.4466418513617,17.6687897147671,17.5945191651644,17.6428574181152,17.8995740701402,16.6887893479558,17.006031298237,16.9143446680879,17.6869871619958,17.0567166563499,17.0167332390063,0.337678640942996,0.0105597101122048,0.0153179409338489,0.200326077494762,0.118956407723175,0.179293367823819
"P05362",5,7,6,7,7,8,1,3,2,2,4,5,4,5,3,6,5,6,17.8846886111451,18.4896397454806,17.8789819284681,18.3685997743235,18.2962391361314,18.056089656678,16.5818577654669,15.951367512732,16.8258295411295,16.3617359728067,17.0779316916028,17.3440353787879,17.706843879257,18.0322469255647,17.7339767270068,18.5508921932074,17.5969763076054,17.9777366339738,-2.05760618525734,1.77986872659928e-23,3.24691204064475e-22,-0.450331977518602,0.00638723291867303,0.0147743220016705
"Q14376",1,NA,NA,NA,NA,NA,3,6,5,4,3,2,NA,NA,1,NA,NA,NA,15.9684682322282,NA,16.144500361572,14.0361025627821,13.478518383163,14.8744202844809,16.9844315845673,16.6630724640246,16.6632313753093,16.6550897536652,16.2979222624396,16.6067588962528,15.3531946386829,15.423215856864,15.6921805291543,16.4277148841008,15.78250352843,15.3840896023217,0.654334987023159,0.00542077299753742,0.00813791856488161,0.148358538785435,0.517937536867966,0.628699709817991
"O75153",NA,NA,5,NA,NA,NA,8,7,10,7,7,6,NA,NA,NA,NA,NA,NA,16.7498286628452,15.3242121867635,16.8375507611483,NA,NA,15.1097573089444,18.0171308869456,17.8481613126907,17.5952966209197,17.8857003383612,17.4607505524477,17.7655216758229,16.3517371949028,15.8018839328446,16.0682772353828,16.3994570597002,15.9630197178468,15.5230168041358,0.95984544111585,3.14403670165163e-05,6.38350790689471e-05,-0.266611842363121,0.235178160833993,0.319741089559692
"P61457",NA,NA,NA,NA,NA,NA,5,5,5,4,4,4,2,2,3,3,1,3,17.5663722292687,16.8684970340486,17.0770706252406,17.0754886849677,16.5409765106557,17.2100220710517,19.3653458311992,19.0809521551148,19.126828682397,19.6285850260116,18.8524215680692,19.5861607578619,18.3800661675528,18.0325897788769,18.1640981045164,18.7668571915815,18.368247213398,18.3800661675528,1.64615333870977,2.14934430710132e-22,3.52083067448978e-21,1.15049336815731,2.25843957970699e-16,5.47728629381462e-15
"Q8WXC6",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,15.5452377463006,NA,15.7253527582763,NA,NA,15.6088884250435,17.6143674283498,16.9609863149433,16.7669031385357,16.8565524109922,16.7239253858725,17.4822330071716,14.3048184851723,NA,16.0408212681717,16.4387029205865,16.3179887316782,16.7530795199186,0.665446539503102,0.00690573664593731,0.0102332392882566,0.309797284661195,0.206614044638458,0.286420508762665
"Q9NUD5",2,NA,3,NA,NA,2,5,7,5,4,4,6,2,2,1,1,3,1,16.4882563742667,NA,16.5950255271227,15.1407483632603,14.9610918030009,15.5486556678004,17.8322349733616,17.5871536345036,17.1479738379802,17.2287573568498,17.2192843652327,17.5262782383263,16.1161343610269,16.1913199741087,16.1493209428749,16.4934365044067,16.19766008122,16.1321003951078,0.89812746574936,4.45681099197955e-05,8.87675836946796e-05,0.191418627764316,0.366309451766044,0.466088496921183
"P17301",5,12,7,13,11,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,17.0047415890602,17.3797738717849,16.7861602081905,17.2480161064223,17.1414900094408,16.9127755288094,15.4183479477227,NA,14.9107753787357,15.016147884253,15.0398535233811,15.5442630170175,15.4963164379696,16.0513417318775,15.6935590109718,16.5483054687866,15.9211631412395,15.7439042565766,-2.49507641165921,2.37783229106097e-34,1.2182596078457e-32,-1.41806616940059,1.6771591509987e-20,6.49493406701271e-19
