"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|Q6P5D8|SMHD1_MOUSE",3,3,1,1,2,2,0.306004293509295,0.635732866826367,22.6836085168256,23.3648682782267,21.0855343257452,19.72547030649,22.959403294993,21.3472547867753
"sp|Q6P5E4|UGGG1_MOUSE",2,3,2,2,2,2,0.524610421841822,0.780029338442614,22.5030332032811,23.9891906652492,23.6808790844608,23.9581059612129,23.7710872196425,23.2918754282268
"sp|Q6P5F9|XPO1_MOUSE",1,2,1,2,2,2,0.170901210691109,0.502223840851704,20.5518153095929,23.4685450672386,23.3289533062389,23.9631958736861,23.746429146764,23.282935866983
"sp|Q6P8I4|PCNP_MOUSE",2,2,1,2,2,3,0.191685368981727,0.523771863489544,22.8361483927963,22.7049139522446,21.6201343230561,22.773008213664,22.9798531255605,22.9138714879173
"sp|Q6PB66|LPPRC_MOUSE",1,2,1,1,2,2,0.330520458926717,0.651627360478938,19.5599937988056,21.884186226905,21.9784938795491,21.3922161571647,22.0548224547491,22.0979566565375
"sp|Q6PDG5|SMRC2_MOUSE",3,3,3,2,3,3,0.0166739293575233,0.211997101831368,24.7619952724223,24.7995840064323,24.9160535857776,23.8897351701095,24.3543842185683,24.3483214449872
"sp|Q6PDM2|SRSF1_MOUSE",9,9,9,8,9,8,0.143716485446886,0.473946780719821,28.0906271000334,27.7664784256452,27.7154302489522,27.507697840794,27.5558254121307,27.6273151893732
"sp|Q6PDQ2|CHD4_MOUSE;sp|A2A8L1|CHD5_MOUSE",4,5,5,7,7,6,0.00938925132171918,0.181064408589858,24.0130181930824,24.5159997160196,24.1094041986907,24.8248615718127,25.0711146759274,24.945373939996
"sp|Q6PE01|SNR40_MOUSE",3,3,2,3,3,3,0.145895119804153,0.473946780719821,23.6035652612335,24.037874680857,24.1790879916114,24.2473272969564,24.2738642967885,24.3023039724101
"sp|Q6PFR5|TRA2A_MOUSE",1,1,1,1,2,2,0.459012402548713,0.747620200752545,22.7568503606567,22.4869667556421,22.2780979974426,22.6720337430887,22.7879036429643,22.5199118682893
"sp|Q6PGH1|BUD31_MOUSE",1,2,2,2,2,2,0.764025883087908,0.912728907313071,22.4727461057536,22.2027803843283,22.7341929441564,22.1023417746272,22.5237675444465,22.5722661604401
"sp|Q6URW6|MYH14_MOUSE",1,1,1,1,1,1,0.966293231413031,0.993908696418661,25.2469187104722,25.3925866148208,25.6319620522152,25.229524244513,25.2942939685813,25.7198405911378
"sp|Q6WVG3|KCD12_MOUSE",3,2,2,2,4,4,0.0690924286318093,0.369481399464525,23.091711262586,22.6022119777782,22.4729021773285,22.9759588653277,23.3262342221957,23.4019699555375
"sp|Q6ZQ38|CAND1_MOUSE",3,3,2,3,3,4,0.119410802237925,0.449504107517988,23.5324420355456,23.8931403897477,23.8108392929713,23.990586271188,23.9538193170685,24.8432195341137
"sp|Q6ZWM4|LSM8_MOUSE",3,2,2,2,3,2,0.803848943570526,0.928263006199144,25.5533900865715,25.0104890710628,23.7142900211802,24.9129379127291,24.8164492993738,24.9053285121324
"sp|Q6ZWN5|RS9_MOUSE",8,10,10,10,9,10,0.900843856149725,0.967433412960502,27.3483131095954,27.4151368014346,27.1877718877189,27.2719709903092,27.3780777760786,27.239027992635
"sp|Q6ZWQ7|SPCS3_MOUSE",3,3,2,3,3,3,0.39956712782191,0.711229487523,24.6840149562416,24.5832571031521,24.2422781851081,24.4147983326473,23.9746487187215,24.5131719480454
"sp|Q6ZWU9|RS27_MOUSE;sp|Q6ZWY3|RS27L_MOUSE",3,3,3,3,3,2,0.222875250162814,0.559487536250476,25.2091345917086,25.2316961263097,24.8335555226898,24.9068038451243,24.9316521557929,24.6563210879479
"sp|Q6ZWV3|RL10_MOUSE;sp|P86048|RL10L_MOUSE",8,7,6,7,7,7,0.993412463916082,0.997175881034621,26.0316821942642,25.4369769526648,25.3109626313482,25.5532303924855,25.5171740824963,25.7031840174533
"sp|Q6ZWX6|IF2A_MOUSE",4,6,6,8,8,8,0.0129554138820899,0.192414684073843,24.3800982217729,25.3047337526866,24.9637776192499,25.9419345126419,25.6114339314539,25.8998826128758
"sp|Q76MZ3|2AAA_MOUSE;sp|Q7TNP2|2AAB_MOUSE",12,11,10,10,11,11,0.54021688370651,0.794298469615498,26.9852850550983,26.6017802593518,26.8470435426368,26.4509066190653,26.7648207776228,26.8378530243638
"sp|Q78IK4|MIC27_MOUSE",2,2,2,1,1,2,0.0344912663800042,0.275487935317213,23.0658169382908,22.8240894058438,22.5704726465292,19.7651790153412,21.488284104512,22.2556311775735
"sp|Q78PY7|SND1_MOUSE",10,11,10,11,9,11,0.117462744131421,0.447454435036493,25.073388309395,25.2755955269039,25.7154302489522,25.7353539571212,25.8282884349846,25.6629065476877
"sp|Q78ZA7|NP1L4_MOUSE",3,4,4,4,4,4,0.128963735989078,0.461040189905154,24.6980168136259,24.5533172618356,24.9514727932429,24.3918967873553,24.1399010308845,24.6042381995353
"sp|Q791V5|MTCH2_MOUSE",4,4,3,3,4,4,0.675709407237848,0.852313769027206,24.0762538753872,24.1820936095169,23.614597652516,23.6893140118716,23.8237731712822,24.069949253025
"sp|Q7TMF3|NDUAC_MOUSE",2,2,2,3,2,3,0.121779549375026,0.45171180849826,23.4116959596453,23.1794777399264,23.2147056986699,23.0373166339982,23.0233243474257,22.8708150084914
"sp|Q7TMK9|HNRPQ_MOUSE",8,7,6,6,7,9,0.251877280805665,0.587825260917603,26.3254538317212,25.9498731818471,25.8676042988634,26.1239176557747,26.1709433836314,26.8202682174482
"sp|Q7TNC4|LC7L2_MOUSE",4,4,4,4,3,4,0.470310797296873,0.754192089358949,24.4683542825095,24.6722980883736,24.2872106579149,24.6468752190546,22.8591798567347,24.7344972872024
"sp|Q7TNG5|EMAL2_MOUSE",2,1,2,2,1,2,0.675831463723017,0.852313769027206,22.2961369387239,22.0430991877856,22.2622450957069,21.9891666543956,22.2543392961866,22.1332711844672
"sp|Q7TNV0|DEK_MOUSE",7,7,6,7,5,6,0.982824654505707,0.996533056246266,25.869855802265,26.3413665536771,25.9733045209091,26.0778911955292,25.8406158428252,26.2802222677555
"sp|Q7TPR4|ACTN1_MOUSE;sp|Q9JI91|ACTN2_MOUSE;sp|O88990|ACTN3_MOUSE",37,35,34,33,32,32,0.00375606660324505,0.141819969322525,28.6518235967535,28.3932416126346,28.3372528485946,27.7503090172167,27.653789465234,27.2764303449503
"sp|Q7TPV4|MBB1A_MOUSE",11,11,11,11,12,10,0.805197128891725,0.928817596651886,26.103225250603,26.4516949263897,26.429249017646,26.5007810035072,26.5413649788036,26.1003106272642
"sp|Q7TQH0|ATX2L_MOUSE",1,1,0,2,0,0,0.307059957406943,0.635732866826367,20.7665427154182,20.3391732553996,NA,20.9930385314888,NA,NA
"sp|Q7TQI3|OTUB1_MOUSE",5,6,5,6,7,7,0.376791855304202,0.692452288656394,24.9143760518406,25.1980684742867,25.2112777469264,25.3258365200154,25.3655629361275,25.1322760866717
"sp|Q7TSI3|PP6R1_MOUSE",1,2,1,1,1,1,0.52263826058002,0.779445642063338,20.3919476492956,21.3117194141618,19.635814001167,20.3954639042466,20.3198630283569,21.7476283125913
"sp|Q7TSV4|PGM2_MOUSE",8,7,9,8,7,7,0.0191601961191726,0.215952312090239,24.8651801904912,24.7024597044137,25.0042432684981,24.5286477969401,24.0019615479757,24.1023358154446
"sp|Q80TY0|FNBP1_MOUSE",2,3,3,3,3,3,0.556454406946155,0.802588486984822,23.142257608926,23.1772773175947,24.1873294498592,23.4945746933766,23.6010142781592,22.6960952644029
"sp|Q80UG5|SEPT9_MOUSE",5,5,6,5,6,4,0.351378227893008,0.673443928320774,24.7621042304467,24.8234785767341,25.3876819492412,24.6791182447657,25.1424136106879,24.2560455451384
"sp|Q80UM7|MOGS_MOUSE",3,2,2,3,2,3,0.606203198182656,0.828211825587269,23.4894791270761,22.6827760110411,22.9531988255941,23.4026006095683,22.7998934970628,23.3890464694616
"sp|Q80UU9|PGRC2_MOUSE",2,3,3,1,3,3,0.821472298237107,0.934924120084381,21.1711440786428,22.56105500001,23.4714700570284,21.8765975110119,22.573439857037,23.1982270627953
"sp|Q80VD1|FA98B_MOUSE",1,2,1,2,2,2,0.0342430996927011,0.275487935317213,21.0540467163827,22.5719398097381,21.9280577530102,22.6364229850106,23.0401897119805,23.0691029911927
"sp|Q80W54|FACE1_MOUSE",2,2,2,2,2,2,0.344049770270769,0.665656882406367,22.1360381218665,21.9186346280361,21.5580494760539,22.0192155776608,20.5448892424023,21.7782493912517
"sp|Q80WS3|FBLL1_MOUSE",1,1,1,1,1,1,0.214271995150263,0.548219519419359,25.2188524285284,25.3681402372034,25.169199707247,24.7736323613405,24.9842671376679,25.227290473498
"sp|Q80X41|VRK1_MOUSE",2,2,1,2,1,2,0.921432767767735,0.974182545249558,22.5435901929176,23.1594053906349,23.1229519776959,22.66390464633,22.9815006077919,23.1065838981371
"sp|Q80XU3|NUCKS_MOUSE",2,3,2,2,2,1,0.329776519976445,0.651191036276784,23.8883915385687,24.484556862536,23.6226609841483,23.9356737976281,23.8462779858815,23.2562048855941
"sp|Q80YR5|SAFB2_MOUSE",1,1,1,1,1,1,0.267292987115642,0.596858533953567,21.0387299708998,21.3325277504423,21.0989307216175,21.3266494193982,18.7421122857794,20.9767705544204
"sp|Q810A7|DDX42_MOUSE",2,1,2,1,2,2,0.997805995877133,0.998607446476231,22.5039021815397,21.8161097748917,22.3735057853708,21.5465745958352,22.6752291873162,22.4686694891551
"sp|Q8BFR5|EFTU_MOUSE",8,9,6,8,7,8,0.706984637208705,0.879144568824398,26.2368922683698,26.1877499021803,26.0447217705113,26.1936408521874,26.3240126190419,26.1401831822798
"sp|Q8BFY9|TNPO1_MOUSE;sp|Q99LG2|TNPO2_MOUSE",2,1,2,2,1,1,0.926186104206513,0.975013719450834,24.1278425977423,22.2144615006504,23.9029635863372,25.0286213553439,22.2480068657013,22.7233986951332
"sp|Q8BFZ3|ACTBL_MOUSE",3,3,2,3,3,2,0.00174921855775807,0.121084795720364,32.5525182662137,32.6084943551494,32.3510654309209,27.4415563110771,30.2662591628203,27.0668337697723
"sp|Q8BG05|ROA3_MOUSE",12,11,12,12,12,12,0.108639964307765,0.43807571368115,29.9323681597944,29.4167100158591,29.6434989320716,29.4452556153474,29.1735048967522,29.2577674809397
"sp|Q8BG07|PLD4_MOUSE",2,2,2,2,2,2,0.016295370762649,0.211500333023549,23.0792886718997,23.1952453702505,23.2259014114094,22.6602930311637,22.7148742686019,22.6461916555566
"sp|Q8BG32|PSD11_MOUSE",4,4,3,4,5,4,0.147387455324017,0.473946780719821,24.1649053046886,24.0125205212293,23.1143599041916,23.9324833166244,24.4754450144732,24.5533632360049
"sp|Q8BG81|PDIP3_MOUSE",1,2,1,1,2,2,0.188572883114271,0.518893853690654,21.8030649707979,22.7985672018246,20.5546818938849,22.5356560447856,22.7664903897762,22.2788426383895
"sp|Q8BGB5|LIMD2_MOUSE",2,2,2,2,2,2,0.473742230432391,0.75677284502405,24.069519549044,23.9000040936479,23.8514106090297,23.9016126413657,24.1122547830764,24.1973421773633
"sp|Q8BGD9|IF4B_MOUSE",3,3,1,2,3,3,0.467563083982231,0.752691993077338,23.0222060080782,23.3176728083941,20.9464018036955,22.7370693412251,22.6957506397794,23.3187733895088
"sp|Q8BGQ7|SYAC_MOUSE",2,1,1,3,2,3,0.370866737629003,0.688504923693522,22.464627653318,22.0758901947839,21.334078663548,22.328046232285,21.7447839113336,23.0158918840236
"sp|Q8BGT7|SPF30_MOUSE",2,2,2,1,2,1,0.0937507501154056,0.421709150338611,22.7336870246346,22.5301014830547,23.0156808076691,22.3546001125847,22.2779734406989,20.3005127379613
"sp|Q8BH04|PCKGM_MOUSE",4,2,3,3,4,4,0.571134030434677,0.813294859338979,23.8374588365712,23.1204387865491,23.1173092509323,22.4655111272239,23.3576556372964,23.5985940908943
"sp|Q8BH43|WASF2_MOUSE",2,3,1,1,1,2,0.321380346127254,0.64483077499929,22.8439932599515,22.9056465417576,21.7756174435761,20.0734778779423,21.8126541869773,23.1322760866717
"sp|Q8BH59|S2512_MOUSE",13,10,11,9,10,10,0.909242161875149,0.970611447478011,25.265305124045,25.2315566074236,25.5200646771067,25.1002996174138,25.1239421008533,25.8861343421333
"sp|Q8BH69|SPS1_MOUSE",2,1,1,1,2,2,0.522966738976686,0.779445642063338,22.8207480302262,22.6188850131445,22.6309955966739,22.1100933656441,23.0740423425047,23.6945283097133
"sp|Q8BH95|ECHM_MOUSE",3,3,3,2,2,3,0.264488550382251,0.59378870950682,23.1929260201874,23.1973900042724,23.0337943330302,22.9932107992972,22.6318912221811,23.101153569176
"sp|Q8BHD7|PTBP3_MOUSE",5,6,6,5,7,8,0.791525987963297,0.92172091682455,25.0905258699467,25.1740212002911,25.3861956844969,24.8691807347159,25.4554218170478,25.1515063647645
"sp|Q8BHN3|GANAB_MOUSE",14,13,14,13,12,13,0.797287909786229,0.923403542978557,26.6441340529204,26.3550396608586,26.3186303259319,26.5230079659717,26.3211075820571,26.3322885516225
"sp|Q8BIQ5|CSTF2_MOUSE;sp|Q8C7E9|CSTFT_MOUSE",2,1,1,2,1,3,0.261258020627176,0.59378870950682,22.2550861318045,22.0733078693752,21.1834047801344,22.5921981264343,22.140392724138,22.0100581317045
"sp|Q8BJ71|NUP93_MOUSE",1,4,2,4,3,3,0.165803430682631,0.495422241320282,19.8817347095497,23.6927629148509,22.6586902995902,23.5236209798653,23.5396292655589,23.4802655308389
"sp|Q8BJS4|SUN2_MOUSE",12,12,11,10,9,11,0.426535878000638,0.729031144017551,26.2843202148998,26.545369433859,26.3031664622178,26.0639491570898,25.8633692279048,26.5994316497224
"sp|Q8BJU0|SGTA_MOUSE",2,2,2,2,2,1,0.444438747566346,0.735734858829914,22.8333856668641,23.0913800883597,23.382125397869,23.1689235124465,23.3041220794447,21.7662459281294
"sp|Q8BJW6|EIF2A_MOUSE",2,0,2,1,1,2,0.654103922010883,0.843514649123674,21.4461923569235,NA,21.3425503935776,19.6739024666874,21.3239142389374,22.1489170426055
"sp|Q8BJY1|PSMD5_MOUSE",4,5,5,5,3,5,0.616925692719364,0.831142314766705,23.4403940269245,24.5445273120095,23.997048484781,24.369289627453,23.2487325726623,23.7482326460554
"sp|Q8BK64|AHSA1_MOUSE",3,2,2,1,4,3,0.248958690749006,0.584404472563661,24.267890806179,23.8009950472395,24.7156932505099,23.9943204764647,25.2823949694992,25.0576600768765
"sp|Q8BK67|RCC2_MOUSE",12,15,16,13,17,14,0.875551779250434,0.956124028874707,26.6771553519356,27.0694803351082,27.4050725931981,26.8997759828861,27.1110580222936,27.2569880536294
"sp|Q8BKC5|IPO5_MOUSE",1,2,0,1,3,3,0.00874995906610412,0.180899230824243,20.7256491261658,22.1184633076359,NA,NA,23.806273865946,24.9518485199755
"sp|Q8BL97|SRSF7_MOUSE",5,5,4,6,6,8,0.277616378033471,0.607926198646231,26.7051938033172,26.2380300044714,26.1653216216713,25.8668061852461,26.1479537179009,26.2987760007715
"sp|Q8BMF4|ODP2_MOUSE",2,2,2,2,2,1,0.622647008813422,0.831203600271851,22.1885223570741,24.2377521757592,23.6583254851846,23.7295063475191,23.4228043725949,21.8733103017757
"sp|Q8BMJ2|SYLC_MOUSE",2,3,2,3,3,3,0.00791823521147332,0.176492038863581,22.4578810161534,23.1452104110165,23.1860899015236,23.8524498476512,23.9750246653141,23.7560660308768
"sp|Q8BML9|SYQ_MOUSE",1,1,1,1,0,2,0.0207124584709787,0.216956306631472,20.0547110498672,20.0175300247724,19.5048419202116,20.7503797948085,NA,22.438581760859
"sp|Q8BMS1|ECHA_MOUSE",10,9,9,12,10,12,0.0653798438022968,0.368612151030144,26.9480968853948,26.5826282574551,27.0863515255683,27.3350591643265,27.1398451460463,27.9357730682045
"sp|Q8BMS9|RASF2_MOUSE",2,2,2,3,1,1,0.0981668158096624,0.42323824394062,22.9610005950284,23.2567293769561,23.3627087223619,23.2429393442858,22.3398038873014,21.806087934031
"sp|Q8BNW9|KBTBB_MOUSE",2,2,2,1,2,2,0.0577361447958386,0.349248782031522,22.4601930997392,21.8473298712777,22.1093775090526,21.3156708804401,21.7543353075526,19.8254319753443
"sp|Q8BP67|RL24_MOUSE",4,5,4,4,4,5,0.950235737332993,0.989050817927249,26.138905101513,26.0035402386883,25.9905785842405,26.0061532300861,25.9100240903236,26.1848127475859
"sp|Q921Y0|MOB1A_MOUSE;sp|Q8BPB0|MOB1B_MOUSE",2,2,2,2,2,2,0.323097732318056,0.64605101354954,23.0980553245577,22.9837171668472,22.7436813286812,23.1318848512322,23.0525206158193,23.1929095906031
"sp|Q8BPU7|ELMO1_MOUSE;sp|Q8BHL5|ELMO2_MOUSE",4,4,3,4,2,3,0.255123496104469,0.591962525411859,23.8060976959624,24.3909009679577,23.5360580694775,23.9020204703553,22.8292452442875,23.656240591642
"sp|Q8BT60|CPNE3_MOUSE;sp|P59108|CPNE2_MOUSE;sp|Q1RLL3|CPNE9_MOUSE;sp|Q9Z140|CPNE6_MOUSE;sp|Q8BLR2|CPNE4_MOUSE;sp|Q0VE82|CPNE7_MOUSE;sp|Q9DC53|CPNE8_MOUSE;sp|Q8JZW4|CPNE5_MOUSE",1,1,1,1,1,1,0.543656060741867,0.794298469615498,22.4827245621309,22.1684710654232,21.7190204603086,22.2771404711411,21.6488929288548,21.9221432593553
"sp|Q8BTM8|FLNA_MOUSE;sp|Q80X90|FLNB_MOUSE",77,78,76,73,75,78,0.978982011761669,0.996533056246266,30.0124076577195,30.014564318626,30.1566746679755,30.0246034158276,30.022180316386,30.1242126591898
"sp|Q8BU30|SYIC_MOUSE",2,3,1,2,3,3,0.037468956093485,0.284672678612697,21.2000427037721,22.0208923489066,20.1626682675571,21.9361119375095,22.8907924898206,22.5210792833904
"sp|Q8BV49|IFIX_MOUSE;sp|Q504N7|IFIXL_MOUSE",4,4,4,4,4,4,0.641366554940916,0.841679800596133,24.7101155902589,25.0679574131875,25.36125252941,24.848170496411,24.8740249334354,25.0961478573962
"sp|Q8BVK9|SP110_MOUSE",6,6,5,5,5,4,0.455964613979705,0.744602764113646,25.4789111757256,24.9625801421431,24.4660608544896,24.7239809787639,24.9830216096264,24.4925357683477
"sp|Q8BVY0|RL1D1_MOUSE",2,3,3,3,3,2,0.167271010364886,0.497263893451036,23.9540227660759,24.9187126206861,24.9492377888596,25.4634816607149,25.3572230811053,24.6744387521681
"sp|Q8BWT1|THIM_MOUSE",13,10,9,11,8,10,0.0191838655635707,0.215952312090239,27.3500658970996,26.8601519777938,26.8555019622714,26.3755254746826,26.0243842285944,26.5223649996417
"sp|Q8BWY3|ERF1_MOUSE",1,2,1,1,2,1,0.498079839894769,0.764294926735076,22.7028382341651,21.8803113090465,21.3025829657322,21.7271836665285,23.0151096569505,NA
"sp|Q8BYW1|RHG25_MOUSE",5,5,5,5,6,7,0.29268197773627,0.627679422133205,23.9014422955967,24.0779247959141,24.5130202537313,24.4223521001799,24.2249687454074,24.6200077831384
"sp|Q8BZ98|DYN3_MOUSE",1,1,1,1,1,0,0.138116001795,0.471486406127589,21.3218512018021,22.1046653434485,22.1401147619549,21.3552257198602,21.254091488501,NA
"sp|Q8C0C7|SYFA_MOUSE",2,2,2,2,1,2,0.612582622072273,0.829362647403595,22.6804143680919,23.3105574836956,22.3399595008593,23.173525198546,21.4165808498196,22.9213932368511
"sp|Q8C129|LCAP_MOUSE",2,3,3,3,2,2,0.0920339109061955,0.421050304136796,22.9681967261006,22.5551357407057,23.1271234507812,22.7613450789714,21.7542769023934,22.3132295726293
"sp|Q8C147|DOCK8_MOUSE",3,3,2,4,2,4,0.111672486385282,0.442551354602562,21.1307596483798,22.0251808571868,22.2894504104403,22.6253265063477,22.1761899403247,22.4863457768407
"sp|Q8C166|CPNE1_MOUSE",3,4,3,3,3,4,0.821016281810683,0.934924120084381,23.7446389486516,23.6789132619691,24.0635789852144,23.5729898939043,24.2799627772273,23.8043745710258
"sp|Q9JKP5|MBNL1_MOUSE;sp|Q8C181|MBNL2_MOUSE",1,1,2,2,1,2,0.150542744691499,0.476081877882252,21.4398492367962,21.5817583582022,23.1465538043849,22.536995850716,23.0568601934149,22.9063103173772
"sp|Q8C1B7|SEP11_MOUSE",2,1,1,2,2,2,0.117788968452624,0.447454435036493,22.3380413873876,21.2566196829901,21.3790512919793,22.2050350243702,22.3827890382432,22.1012245312793
"sp|Q8C2Q3|RBM14_MOUSE",4,5,5,5,5,5,0.67521028120073,0.852313769027206,24.296157004163,24.9224340316733,25.1288887312465,24.7767490557974,25.3077879409662,24.6511198565335
"sp|Q8C3J5|DOCK2_MOUSE",8,10,11,12,11,12,0.603504398055576,0.826336791183789,25.702792824271,25.9800012301377,26.3588690445099,25.8299072790002,25.8288431843463,26.0269382127308
"sp|Q8CAQ8|MIC60_MOUSE",5,4,3,3,3,4,0.68311542505534,0.859759413756519,24.0345866221144,23.6344391981657,22.8125780135703,23.1815597962792,23.6379817643808,24.1666459750038
"sp|Q8CCS6|PABP2_MOUSE",3,3,3,3,2,3,0.960530902967092,0.992033460989475,23.573914188882,23.8915518099863,23.8317125045021,24.0900452443991,23.4415875192033,23.8000093784644
"sp|Q8CDN6|TXNL1_MOUSE",2,2,2,3,3,4,0.0476736994422463,0.322833856005646,24.1488282333844,23.8942866104669,24.4315724781043,24.3312598355289,25.076613783751,25.1382248766697
"sp|Q8CFI7|RPB2_MOUSE",3,3,1,3,1,3,0.308053743325818,0.635732866826367,23.7813688299607,23.7455994854006,22.6060918273604,23.5963621155365,20.0158114327382,23.2861646555572
"sp|Q8CG72|ADPRS_MOUSE",2,2,1,2,2,2,0.248995359782617,0.584404472563661,22.9675669207731,22.7538027829022,21.1554480728301,21.835725468114,21.8329278864253,21.3131478867566
"sp|Q8CGC7|SYEP_MOUSE",7,6,7,4,7,7,0.923362428523056,0.974182545249558,24.7718408346598,25.434585050665,25.7896763000081,24.6782256536088,25.6347810909364,25.8014659106839
"sp|Q8CGF7|TCRG1_MOUSE",1,1,2,1,0,2,0.544705670326352,0.794734502607301,21.3201155811575,22.3856315633497,22.9595790940134,21.2984253450253,NA,22.3887945667897
"sp|Q8CH18|CCAR1_MOUSE",2,1,1,1,1,0,0.376467344307276,0.692452288656394,NA,21.3299756438902,20.8358963157837,21.3129131421223,19.5577166293387,NA
"sp|Q8CHP8|PGP_MOUSE",2,2,2,3,3,2,0.647813439721587,0.841684615112719,23.299063542795,23.3748830724715,23.7503204944648,23.6304793903543,23.732162085277,22.5564806546964
"sp|Q8CI94|PYGB_MOUSE;sp|Q9WUB3|PYGM_MOUSE",8,8,4,7,6,7,0.0579182852953291,0.349248782031522,25.1937879095661,24.7926026016873,24.8824004957065,24.5330648528611,23.7965225472602,24.6371167422198
"sp|Q8CIE6|COPA_MOUSE",4,7,7,7,6,7,0.0749139744636349,0.380801563521775,23.7288934464374,24.3707081288512,24.8188592871913,24.7179711853961,25.0262295909801,25.144436210339
"sp|Q8CIH5|PLCG2_MOUSE",3,4,5,5,5,5,0.10482626674094,0.433542270844012,21.3916096364765,23.4872472582515,23.782998690119,24.1202417746477,24.4520499297538,23.7187039963974
"sp|Q8CIN4|PAK2_MOUSE;sp|O88643|PAK1_MOUSE;sp|Q61036|PAK3_MOUSE",4,6,8,7,7,7,0.261043010609386,0.59378870950682,24.7222630942834,25.0765272868856,25.5707149818801,25.6566663099974,25.4113307813466,25.2671834469203
"sp|Q8CJG0|AGO2_MOUSE;sp|Q8CJG1|AGO1_MOUSE;sp|Q8CJF9|AGO3_MOUSE;sp|Q8CJF8|AGO4_MOUSE",2,2,2,2,2,1,0.198337837542446,0.529184037640017,21.99610889871,22.1385439375609,22.3649908663246,22.0405615843365,22.0503102441577,20.5705074319572
"sp|Q8JZQ9|EIF3B_MOUSE",11,11,10,9,10,12,0.53623155782135,0.792899577347071,25.4661043002104,25.3172455622943,25.5361871310598,25.4875944984784,25.5453787464603,25.5953019647094
"sp|Q8K003|TMA7_MOUSE",1,2,2,1,2,2,0.504480992094739,0.768439243406598,21.0996887250065,23.0276417928605,23.1208352308096,21.0780761821729,22.4506088558012,22.3450192257898
