"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q9JII6",5,3,1,2,1,5,20.1604289411337,19.2765126114783,18.6757120542046,18.8796050111721,18.5605131257655,19.415721971076,-0.261179120670356,0.0759529603681487,0.277014579903361
"Q791V5",3,3,NA,3,2,4,18.8346227526378,18.4124276595717,17.7613113940938,18.4444608824559,17.6507977505084,18.7251023975879,5.74970654709245e-20,0.99999999962192,1
"Q91V64",2,3,NA,NA,NA,NA,19.3797540109064,19.0451383044309,18.5357525946752,18.7706947815457,18.4630232925935,18.9693062154754,-7.41029633219044e-20,0.999999999646705,1
"P29758",5,5,NA,4,2,4,19.06082075848,18.6565441667121,17.5102179841892,18.3625415347675,17.9912610695288,18.8131729206322,1.20191456604116e-20,0.999999999852122,1
"Q99LC5",7,2,3,3,5,4,20.1895064071799,19.0266108201597,19.2862859664843,19.2017900933402,19.0966205175151,19.8964790714626,1.03878999256301e-19,0.999999999457597,1
"Q9D0M3",5,3,3,3,2,4,19.9777553575234,19.3201494458678,18.4812773060985,19.1337083760815,18.7346237212023,19.6195278157877,-1.44274334777499e-18,0.99999999761586,1
"Q9D2V7",9,11,10,8,10,9,19.942260721863,19.5470034028039,19.0354037171006,19.718710349609,19.2563176418783,20.0800613534216,0.168026883689162,0.0664259962234134,0.257017219578795
"P97426",3,1,1,3,3,5,21.1004656083486,20.4864266986803,20.3496485230363,22.4705224636466,21.6986456323907,22.9932917877691,1.85542931563578,2.29126717475458e-07,1.66394225034809e-05
"O35737",3,2,1,1,NA,2,19.6612062146859,19.0562692631534,18.2827560733255,18.8052538322711,17.9207731439197,19.5335838422564,-3.83605499357055e-18,0.999999996924745,1
"Q9QYB5",6,5,4,3,1,5,19.4751186406465,18.9773330994069,18.3411657752055,18.2704154941485,17.9253416353804,18.6238742967777,-7.48640938676527e-11,0.999989142750149,1
"Q9R1T2",9,4,4,3,3,5,19.7867167065085,19.0453260367654,18.4969988910781,19.1380921559969,18.6504559342709,19.5684288785805,8.80445760861409e-20,0.999999999534697,1
"P21958",6,4,3,7,3,8,19.6733866039785,19.3274192476817,18.4173198240622,19.2249601402698,18.6122737075507,20.1212491827374,3.93656609328785e-09,0.999832122385547,1
"O70145",NA,3,2,4,4,4,19.5997728663413,19.3120596051848,18.6192459675709,19.5208934484632,18.9187095891677,20.0167017209098,0.374519988686317,0.00212909211653938,0.0255312138680815
"P11911",3,3,1,4,3,3,19.0561745524974,18.7542876063481,18.1212574755548,18.6454975779051,18.265833307951,18.9009709937323,9.50639704239784e-18,0.999999994127816,1
"P12787",4,NA,NA,4,2,6,20.9616849497951,20.4001352089417,19.38135185475,20.2035350843666,19.5683947517987,20.9192035540894,-6.42123441342524e-21,0.999999999945381,1
"P16110",2,2,3,3,4,3,19.0653325252912,18.7014675007425,17.8571644218321,18.3543324934287,18.287771681729,18.9987051046601,1.25855784214341e-17,0.999999995366491,1
"P62313",2,2,2,2,2,2,20.575017354391,19.832734637071,18.7658878782712,19.1236241831307,18.9993758733048,19.9038225902867,-0.0955468122937355,0.335813807187746,0.792995502796628
"P62309",2,2,NA,2,2,3,19.7700477213494,19.3639684961607,18.8867952593542,18.8933131130014,18.7116683380459,19.5909207600201,-0.0473041506173425,0.566163626982845,1
"Q9CQ43",NA,NA,NA,3,2,3,18.9551000291486,18.0399694018226,16.9956543776453,18.901839136026,18.9965609661875,19.4444012954746,1.25994393991382,9.56494421020703e-05,0.00243735274785097
"Q8BGB5",3,3,2,3,2,3,19.9942847591583,19.4211655218821,16.903151672186,19.3765474303667,18.9159684632,19.9778222817166,8.85584429752807e-20,0.999999999570603,1
"P62774",2,2,NA,2,1,2,22.2235048321706,21.7019351686928,20.8474075443537,21.236971719906,20.6146737091476,21.7235771688773,-0.332247090438929,0.0068313096662186,0.0598053919858524
"Q8K003",NA,NA,2,1,NA,3,19.9576137130327,19.8281648231702,18.8164757517692,17.996473813374,17.981028752795,19.0618787267034,-1.08131428962421,0.000393620079099215,0.00693451670215531
"Q62523",3,4,3,3,2,2,19.4837344223402,19.1469554663726,18.0916828097198,18.6281322294606,18.3006758217336,19.472562924438,-5.84200354405337e-20,0.999999999537958,1
NA,NA,NA,NA,NA,NA,NA,19.088335728631,18.4447333498197,17.6916990473596,18.0344957823421,17.734212872972,18.936493702232,-1.52330226130481e-20,0.999999999932448,1
"Q9CYG7",NA,NA,NA,3,NA,NA,17.8981770261456,19.3695464865118,18.4469728790278,18.6953299555489,18.6191314104669,18.8526754533748,-5.96022922528978e-20,0.999999999828449,1
"Q99J77",4,4,3,5,4,4,20.7457854595668,19.9886608620748,19.1361704502312,19.59248741394,19.3378103720143,20.2078775182326,-0.0601002551676792,0.389770119349204,0.871789906444066
"P15702",2,3,2,3,2,3,20.6322933885503,20.2208888489372,19.4415194280225,19.3119863974828,19.2735363229342,20.3450828640715,-0.316391458634205,0.0198215174571864,0.12139616056397
"Q8BTW3",2,2,NA,NA,NA,NA,18.6159582051246,18.3673445328697,17.2664664267448,16.5265830096115,17.0825294882826,18.5569308364479,-0.0937823836748932,0.497526460337378,1
"O54890",2,NA,NA,NA,NA,3,19.1264048982816,18.3972343893154,17.9155004987231,18.317564330999,18.0100633253266,18.6422862482362,-3.14177647793418e-20,0.999999999832878,1
"O35350",5,7,4,5,4,9,19.4759533957928,19.2235527413851,18.7028309723202,18.9932037343579,18.5995377848898,19.4578144846275,-5.87212353244191e-20,0.999999999584217,1
"Q8BXV2",1,NA,NA,NA,NA,NA,18.7923319580225,18.3186022141363,17.3342426934965,17.9053687616998,17.6489493805589,18.716817718091,-7.83936183041891e-21,0.999999999953841,1
"P15530",NA,2,1,NA,NA,NA,20.1519624049969,19.567694205869,18.7546598657067,19.5903532464781,19.236321204425,20.0777108111448,0.190920506655438,0.174058073217247,0.500429432086133
"Q61881",4,3,NA,6,5,5,19.2569377619102,18.5417288425986,17.2265509804232,19.1185012580123,18.9877801482825,19.8001567681871,0.979167183483872,0.000203046513220992,0.00432458767710978
"Q9CW46",NA,NA,NA,NA,1,2,18.6965394050863,18.5998142240885,18.2370354421405,18.4440668394168,18.2346629473531,19.7278873069987,0.0568148308165595,0.611246404325326,1
"P43275",6,5,6,6,7,7,21.6235507454012,21.8592920554692,20.8502105089122,21.1815117050286,20.9139717400033,22.0034995212173,2.45642858107803e-16,0.999999975359547,1
"O35841",4,4,5,5,1,4,19.6849299366439,19.7780516304335,18.8468460604844,19.4334403979464,18.8526002979208,20.0055471023048,7.59695742746455e-16,0.999999955739009,1
"P70195",NA,NA,NA,NA,NA,2,19.4371126315144,18.7539615032151,17.789237451148,18.165072396094,17.6733495022868,18.4492041111721,-0.438218887694053,0.029721131232704,0.154225651887522
"P35278",3,3,2,3,3,4,19.7424522323642,19.3334099709527,18.426873940602,19.2608123851934,18.888541073321,20.3555815776103,0.378983102831199,0.00410198659840274,0.0418109633994336
"O08539",5,4,5,3,3,5,19.9928948480347,19.2930224498749,18.7269508215917,19.2632204308431,18.7833083287377,19.4714045435385,-5.74999889216019e-20,0.999999999646846,1
"P10922",4,4,5,5,4,3,20.2635811412629,20.3373968380147,19.7864661698746,19.6548730098183,19.3606159622536,20.1676931965151,-0.273197274363869,0.0392152482564043,0.185298540602281
"O55029",6,6,NA,6,6,5,18.8632694278441,18.4754323692445,17.8157659665882,18.5967403629744,18.2035808692082,18.8056015474544,0.179566516130962,0.147656168972893,0.446409646449826
"Q922D8",6,6,4,9,6,10,20.1148837949656,19.6679796667137,18.6729108862905,19.430953417682,19.0790481857856,19.8528081040055,3.49896220005617e-21,0.999999999957262,1
"Q9CQT1",2,NA,NA,NA,NA,NA,19.3164143679977,18.6379323145117,17.8103743738908,18.0072761464856,17.6823079673542,18.7312043183332,-0.328676361634063,0.0497292919467705,0.215611806617499
"P51125",3,2,NA,NA,NA,NA,18.9296354890585,19.214497207598,17.9022113992748,18.511215004719,18.2412495674022,16.9458740634597,-3.27660161546492e-19,0.999999999453776,1
"P26883",2,1,NA,NA,NA,2,20.6305858312904,19.3600960179506,18.5753637462355,18.534985489515,18.0833694062584,19.5273421355292,-0.472484294283056,0.0483960845971731,0.212496039138972
"Q64012",8,12,8,6,6,8,20.0027785512348,19.7560485336659,18.677161369125,19.4066735882953,19.0562769410672,19.8209586719647,-1.54222791631593e-21,0.999999999986787,1
"Q99M28",NA,1,NA,NA,NA,NA,20.8213753802069,20.4044113170676,19.4769232302084,20.3211619495582,20.3233807027386,20.8375829425603,0.218295889709168,0.171789501041029,0.495239632294036
"P47738",14,14,9,10,9,13,21.0389999273426,20.446761167886,19.7276847134203,20.2852908959127,20.0912341848071,21.0720029468496,0.0630443849738124,0.314745501118899,0.759251959944934
"Q8VH51",4,6,4,5,6,5,19.7434583071953,20.0905389764282,19.0649027357609,19.4569748581051,19.1834846492327,19.9697430196631,-1.62981646203382e-21,0.999999999987207,1
"P97315",4,NA,NA,5,2,2,20.4172396893453,19.4647992381649,19.1401991302409,19.4901491282889,18.8700937082699,19.9120523415088,-0.00779937848522514,0.919703891345959,1
"Q9CWZ3",3,3,3,2,3,2,20.7692479688682,20.1273870036241,19.3491706050959,19.7146372324679,19.6511791740032,20.4999609342787,-3.18441211176168e-09,0.999918987912347,1
"Q61990",NA,NA,2,2,NA,NA,20.6744154514399,20.0717711171305,19.9267352367065,20.459357412033,19.6468632188687,21.1308608472694,0.0297803203620758,0.687272408229117,1
"Q3UQA7",2,3,3,NA,NA,NA,20.6927166962011,20.1517928894136,18.9402546945441,18.9065127400522,19.1603250077004,19.6290806009701,-0.510888897524661,0.0671550167075274,0.25724703692075
"Q9Z126",2,1,1,3,3,5,20.6356490450355,20.1832901667354,19.4651032843638,19.5732538842343,19.9313062605511,20.5905722001738,-4.18619153972937e-18,0.999999997639567,1
"P47811",NA,NA,NA,NA,NA,1,16.9678609615204,16.9980245117422,16.7750728850732,16.8800107029406,17.2323846962819,18.1151345808901,0.322605494182982,0.25779881166429,0.665242141491759
"Q9R0P5",2,2,2,3,3,3,20.4045604401372,19.8977620330308,19.1487987208664,20.1256547615122,19.6295717046375,20.3209789550595,0.311423078896832,0.0044820038762823,0.0447260107094744
"Q9Z2Y8",1,NA,NA,NA,NA,NA,18.6366399714426,16.6769533088251,16.5973797090045,14.8437046458264,16.1895255589528,18.3781519337056,-5.45165860405734e-19,0.999999999343925,1
"P62245",5,2,2,3,3,3,21.5284766895331,20.9096599408406,20.0653519245513,20.714939007769,20.443486044064,21.3482769353275,5.47554369511441e-20,0.99999999954677,1
"P63001",2,2,2,1,1,2,20.2447544222861,19.5370690920251,18.7562053541838,18.9086697980941,18.6326383577903,19.9406510145945,-0.153414996659953,0.194634437045949,0.540629016393743
"P45376",12,15,10,9,8,12,21.9698628981018,21.3102015125371,20.2277617404775,20.5931661377289,20.1501729478505,21.1188915044502,-0.42867425805463,0.000106505867296548,0.00266638373038902
"P70404",3,NA,NA,NA,3,4,18.6086514142235,18.2766588345315,17.1893302264472,16.331185940419,16.4856419057809,18.5934073172081,-1.16715732642849e-19,0.999999999717066,1
"Q91VJ5",3,3,2,2,NA,4,20.1074567915558,19.4820218334327,18.9772414679835,19.1497798951215,19.062484672384,19.7206121949254,-0.187510815747332,0.157510501448616,0.466322584164262
"Q9R0Q7",3,3,2,3,2,4,22.1811595206555,21.5264767285625,20.6708295407917,21.3426294178434,21.1495721672835,22.2506048356894,0.205043654051359,0.0790253431975917,0.283339609906943
"Q91WS0",NA,NA,1,1,NA,1,19.2819826894515,18.9327671070678,17.6698672214226,18.9435697633509,18.1324770250424,19.2027372203552,8.44808698836537e-20,0.999999999600724,1
"Q9CQB5",NA,NA,1,NA,1,NA,19.2187443638997,18.5863610161776,17.9145007531974,18.0080930971436,17.5713821751719,19.4784034878902,-1.5226068168778e-19,0.999999999510367,1
"Q9D6Y7",2,NA,NA,2,2,2,19.3192494406682,18.558137367002,18.0238661593777,18.7001480543723,18.2763058116925,19.1332581573112,0.0223401742311917,0.671730745579997,1
"Q9CQM9",NA,1,NA,4,2,6,18.286033140113,17.9890703337345,17.2094271171762,18.6554685563425,18.1374518373959,18.9379304346913,0.789019503252288,0.00036666871821646,0.00670815719096011
"P01921",3,3,3,4,4,4,21.2421478419395,20.5445113720668,20.0004530239851,20.987363290113,21.0272293905813,21.5337072291005,0.578781546589403,0.000298430258466212,0.00599802787086316
"Q60973",NA,NA,NA,2,NA,1,NA,16.4564907472694,17.7667999904458,19.1725059091434,NA,19.4351190005319,1.12981943190994,0.0459167942607369,0.206048004434187
"Q8BHJ5",1,NA,NA,NA,NA,NA,16.974930865574,16.8621323082992,16.2432538037974,17.3432716716947,16.2864836978027,16.7272611293463,9.80733461988722e-20,0.999999999720911,1
"Q9R1Q7",NA,NA,NA,2,NA,2,19.5038409898862,19.0050207999128,18.330267445115,19.2744781681075,18.7257460983643,19.834624439052,0.404333329835335,0.0171999475287206,0.111650155735594
"P24668",2,2,2,3,3,4,19.7045432829092,19.146469861871,18.3965678588647,18.8750671580622,18.4522576283585,19.6120277873802,-5.32595414461069e-19,0.999999999185478,1
"Q9CQ69",2,1,1,1,1,NA,19.4305230371407,18.7715138436749,17.9095328639334,18.4162080595288,17.9488959451929,18.5883501288746,-0.0911654843260374,0.430365518046204,0.931914407059078
"Q9QZD9",6,4,3,4,3,6,18.744574231229,18.5224461814148,17.329076763029,18.2730953626731,17.9103457780073,18.8391691979471,0.169556834473374,0.0765036578882813,0.277175913191572
"P35282",1,2,1,2,2,3,19.156194124871,18.9957941200652,18.01972899435,18.8024414733492,18.424705907658,19.082469962055,0.0980918968522073,0.471402143979429,1
"P62082",9,7,4,8,10,9,23.5573432591431,21.8918780345066,20.7687492365766,21.7038980958177,20.6711170879139,22.0440351976405,-6.93600009135129e-20,0.999999999779065,1
"Q9CQQ7",3,NA,NA,NA,NA,4,21.3229871535993,20.8284223443917,20.0929487609649,20.067934477188,20.1251284259639,21.1191153511472,-0.0698495469612756,0.594927478975876,1
"O54941",2,2,NA,2,NA,2,20.0474818614821,19.9409358909088,19.0594562368329,18.9423903731052,18.190129011862,19.9808019083477,-0.348079416269541,0.131570031655699,0.411324272986123
"Q99ME9",NA,NA,NA,NA,NA,3,18.6262178911519,18.1762147787135,17.2162475286356,18.6462312483817,17.7505355958117,19.0557402639921,0.520544706473008,0.014844327530332,0.10086206761132
"Q923D2",5,3,3,4,5,4,20.3211477486727,19.6797126865272,18.9828153100994,19.6255449692287,19.40271928669,20.2307983167782,0.0898206009511044,0.387859730297856,0.871615488401638
"P63073",1,NA,NA,NA,NA,3,19.8509571693697,19.0358468701054,18.2954615318713,19.246503192511,18.8683495223693,19.8639465357297,0.440589118032525,0.0208344600117159,0.123878226819661
"P14148",12,12,8,11,10,13,20.1341119164954,19.8063273414251,18.5562951310997,19.4136161724212,18.9752702240471,19.9786613889524,3.59026369582111e-16,0.999999971845238,1
"P60335",5,5,7,4,6,6,20.7655887323168,20.6381182913201,19.8377103660513,20.613682865988,20.4286440262087,20.8180146535809,0.191994167618999,0.185893684965221,0.525287699891821
"Q99LF4",6,3,NA,3,NA,4,19.5859928991742,19.4198777424804,18.0408937233723,19.0010628789895,18.8779129033837,19.6626601428834,0.0551505654962154,0.533734028237165,1
"Q9CXW4",1,1,1,3,1,3,20.353936690171,20.0685330102855,18.8536461365724,20.0258898336266,19.2272518168763,20.586434908945,0.0748887348342247,0.479947919842778,1
"P83870",3,NA,NA,2,NA,NA,20.1710416442815,19.2018676047558,16.8786805064728,19.1842681357243,19.1975045217497,19.7026342497884,2.88668382195289e-19,0.999999999342586,1
"Q3THS6",NA,2,NA,NA,NA,3,19.796387387923,19.4987564829944,18.1813307009138,19.2907690264876,18.1577642379045,19.4001086475789,-5.26419411465465e-20,0.999999999773624,1
"Q8QZY1",3,4,3,3,3,3,18.9424005644142,18.7107896787612,17.8489379036496,18.83507012037,18.3249382729635,19.0287336557049,0.293178087271028,0.0202308369378243,0.122327984365573
"P28271",5,3,3,NA,2,NA,19.127291955785,18.4532166034592,17.808146487072,17.9592388216881,17.8211376494119,18.6064799550027,-0.104337061202364,0.213618180242412,0.572179756106312
"P62196",2,NA,NA,2,NA,4,18.4021341646801,18.5895553915385,17.6369785931993,18.6626045731493,17.9240125875367,18.8984524417732,0.166889269960317,0.213973980944084,0.572179756106312
"Q99LY9",1,1,NA,1,NA,NA,20.0406469878103,19.0707230134432,19.2283039073315,19.5265558917912,19.1237822282217,20.7057180546718,0.0482680493265623,0.648712353496513,1
"Q923G2",NA,NA,NA,1,2,NA,19.300119083649,18.7809612341089,14.3738111250243,18.5316523830522,17.9500519949625,19.0092665266312,-3.37148199354792e-20,0.999999999900352,1
"Q3UM45",5,2,2,3,2,4,19.7588586259501,19.5825413939185,18.205346022875,18.9625484781793,18.7292327075521,19.5755793683809,9.4773789472811e-22,0.999999999995614,1
"Q9CQZ6",NA,1,NA,NA,NA,NA,18.4651657269259,18.3649523236756,16.1328416332149,18.1432695397758,17.5826572102492,18.3504317303232,1.80871517761403e-19,0.999999999462249,1
"P30681",16,13,14,12,13,14,22.3670062194265,22.268029952359,21.3324565210408,21.6193823286831,21.4608188703836,22.6596362147251,-8.30783967240855e-20,0.999999999462708,1
"Q9JMH6",6,5,NA,5,NA,3,19.4902610544136,18.9150677141279,17.7951863551767,18.3927961629874,17.8430245978643,18.8233276010746,-0.241072134357588,0.061853851148699,0.247242144507545
"Q9DCE5",1,NA,NA,NA,NA,2,18.9659847623522,18.4194467270872,17.880323703071,18.1838803152617,18.2532002763928,19.0824472429371,0.0244424695344656,0.714370558476384,1
"O70194",3,2,NA,3,2,4,19.9497311133168,19.4764237891381,18.7687338190155,19.5114619448002,19.2846152976915,19.876608360825,0.190316238309107,0.0468972860383498,0.209132584927266
"P26369",4,5,4,5,3,6,20.4488119950376,19.7700304656836,19.1466843923377,19.7698189902209,19.4522339059519,20.6849050527914,0.132771696148673,0.122910527934099,0.394142299689796
"Q9JII5",5,3,3,5,3,4,20.7818368962185,19.652823285226,19.187982749623,19.6317800400388,19.1643658103124,20.1200810958244,-5.65899378286103e-18,0.999999995085897,1
"Q91YP3",1,NA,NA,NA,NA,NA,18.5457331336153,18.625222465556,17.3431035384994,18.2654861769648,17.9969524432824,18.8953163401207,0.17803553915536,0.374918477390094,0.856990683039307
"Q9JJU8",4,4,NA,2,NA,4,19.940751595053,19.2124778914186,18.4020047212967,18.6966209551446,18.6285750063337,19.5879727258842,-7.71779929770513e-20,0.999999999467616,1
"P32233",1,NA,NA,NA,NA,NA,17.9339088403453,18.1036868614038,16.8011203117897,17.6326128026111,17.4100429896679,18.2208448226018,0.0222846548308667,0.823073390639222,1
"P01942",8,7,6,5,6,9,25.6978597073614,24.6227459425325,24.6445508902541,24.2279172400016,24.0503406355449,24.8863156059218,-0.450454719447727,0.00499028279891259,0.049111265889988
"Q9CQ65",1,3,NA,NA,NA,NA,21.083581916736,20.5702289329077,20.5659325291995,19.8071540766097,17.7331827451049,20.235829198581,-0.989927393275763,0.0271138685913873,0.144911949362958
"Q9CZ30",2,1,1,2,NA,3,19.3499888464735,18.6448082761114,18.2424451955402,18.9146625181832,18.440818445936,20.631535583835,0.0519575679520004,0.533302724824623,1
"Q9QVP9",3,NA,NA,2,3,3,18.8146956073,18.6593254019067,17.9573565293024,18.7066734633634,18.3758157234825,18.7978691771282,0.272387541508225,0.0254245828175327,0.138699082039645
"O35130",1,NA,NA,NA,1,NA,18.9261653433735,19.0230728320826,18.1121516149708,18.8582214446175,18.3158807389676,19.5116766574078,0.113385160950345,0.389446172309667,0.871789906444066
"Q9ERB0",3,NA,NA,1,NA,NA,19.710264116005,18.9052683882318,17.5204704478367,18.2357477861148,18.2554035031965,19.062830243853,-1.09516061166177e-19,0.999999999640624,1
"O55023",8,5,5,6,4,7,20.8422481161216,20.3696709514246,19.4521718815617,19.8536989674343,19.5370503836477,20.5305986432318,-0.148911326600342,0.0673635970313686,0.25724703692075
"O35226",2,2,3,3,1,3,19.7826648069854,19.4860597032412,19.0266834669241,19.2765120797471,19.2331476441083,19.734080178229,2.58374544407128e-20,0.999999999880321,1
"P62242",9,8,7,8,7,8,21.9247297475093,21.3242185104096,20.3316407233965,21.1374445702217,20.7919313974988,21.7655902607775,0.0332475349629278,0.519163150366208,1
